,Job_title,company,location,skills_required
121,Tech Analyst,Enroute Corporate Soltuions - Full-time,Kochi,"Python,SQL,Linux"
122,Social Media Manager,Star Innovations - Full-time,"Koratty, Thrissur","Digital Marketing,social media posters,Social media marketing"
123,software engineers,AICORP - Full-time,Remote,"JavaScript, React Native, HTML, C++, C#, and CSS"
124,FLUTTER DEVELOPER,Tyzo technologies - Full-time,Remote,Flutter
125,SALESFORCE DEVELOPER INTERN,Confyans - Full-time,Kozhikode ( Calicut ),"Bachelor's & Post Graduates with Computer Background (B.tech, BCA, BBA, B.Sc, M.Sc ,MBA)"
126,SRE Lead,UST Global - Full-time,Trivandrum,"Java,API"
127,PM with Scrum Master,UST Global - Full-time,Trivandrum,Scrum Master
128,IT Project Coordinators,Speridian - Full-time,Trivandrum,IT Project Coordinators
129,Digital Marketing Specialist,Star Innovations - Full-time,"Koratty, Thrissur","Digital Marketing,Social media marketing,Social Media Executive,social media optimization"
130,DevOps Engineer,Innovature Software Labs - Full-time,Kochi,"Kubernetes,AWS,Docker,Linux Administration"
131,QA Engineer,Innovature Software Labs - Full-time,Kochi,"Java,Test Automation,manual testing,Manual testing, Mainframe Testing, Automation Testing,Selenium java,selenium automation testing"
132,Software Engineer -Flutter,Innovature Software Labs - Full-time,Kochi,"Android,IOS,Flutter"
133,Site Reliability Engineer(SRE),Innovature Software Labs - Full-time,Kochi,"AWS,IOS,System Administration,Windows Administrator,Linux Administration,server monitoring"
134,Angular Developer (Immediate),Cetacean Business Solutions LLP - Full-time,Kochi,"Angular,Javascript,HTML,CSS,SCSS,NodeJS"
135,UI/UX Designer,Buildnext Construction Solutions Pvt Ltd - Full-time,Kochi,"HTML, CSS"
136,Software Tester,Buildnext Construction Solutions Pvt Ltd - Full-time,Kochi,"Automation Testing,manual testing"
137,CRM Executive (Immediate),Cetacean Business Solutions LLP - Full-time,Kochi,"Project Management,Sales,CRM,CRM tools,Customer Relationship,maritime industry"
138,Dotnet Developer (Immediate),Cetacean Business Solutions LLP - Full-time,Kochi,"Angular,Javascript,C#,.Net,MVC,.Net Core,Web API,ReactJS,asp.net mvc ,NodeJS,OOPS"
139,US IT Recruiter,Innovature Software Labs - Full-time,Kochi,"HR Recruitment,IT Recruitment,US IT Recruiter, SAP Recruiter, US Citizen Hiring"
140,US Payroll Executive,Innovature Software Labs - Full-time,Kochi,"Cost Accounting, payroll"
141,Freelance Graphic Designer,Alokin Software Pvt Ltd - Contract,Trivandrum,"Figma ,Adobe Photoshop,Adobe illustrator,Graphic Design,Adobe Creative Cloud"
142,Technical Architect,Innovature Software Labs - Full-time,Kochi,"Javascript,AWS,spring boot,Rest API,JavaScript,Spring,MongoDB ,Hibernate ,corejava"
143,PHP DEVELOPER (Yii2 FRAMEWORK),Planet Media India ( PMIN Agency Private Limited ) - Full-time,Kochi,"PHP,Yii,yii2"
144,Sr. Software Engineer Java,Enroute Corporate Soltuions - Full-time,Remote,"Java,MySQL,Mongo DB,RESTful API,XML"
145,UI DEVELOPER,Enroute Corporate Soltuions - Full-time,Remote,"ReactJS,UI Developer"
146,SAP Basis Engineer,Travanleo Info Solutions - Full-time,Remote,SAP Basis
147,SAP ABAP Consultant,Travanleo Info Solutions - Full-time,Remote,SAP ABAP
148,SAP Testing Expert/Practice Lead,Travanleo Info Solutions - Full-time,Remote,sap testing
149,Java Developer,Emsyne(Muthoot Systems and Technologies Pvt.Ltd) - Full-time,Kochi,JAVA Developer/Lead
150,Team Lead(.Net),Emsyne(Muthoot Systems and Technologies Pvt.Ltd) - Full-time,Kochi,.NET
151,Net Developer,Emsyne(Muthoot Systems and Technologies Pvt.Ltd) - Full-time,Kochi,.NET
152,QA intern,Finastra - Full-time,Bangalore,QA
153,Developer-Java,Mindcurv - Full-time,Kochi,Developer-Java
154,Office Staff,CodeScribo Technologies - Full-time,Remote,Very good English
155,DOTNET API Developer,Enroute Corporate Soltuions - Full-time,Kochi,".NET,API,Agile Methodologies"
156,Job Title: DB Developer,Enroute Corporate Soltuions - Full-time,Kochi,"GIT,SOAP,TFS,PLSQL"
157,Dot Net Developer-0-5 years Exp-Kochi,Iris Medical Solutions Pvt Ltd - Full-time,Kochi,".NET,HTML5,C#,.Net framework,.NET/C#"
158,Python Developer,Trenser Technology Solutions - Full-time,Trivandrum,Python
159,C# Developer,Trenser Technology Solutions - Full-time,Trivandrum,"C#,.NET/C#"
160,C++ developer,Trenser Technology Solutions - Full-time,Trivandrum,C++
161,Angular developer,Trenser Technology Solutions - Full-time,Trivandrum,"Angular,Typescript"
162,React developers,Trenser Technology Solutions - Full-time,Trivandrum,"React,Javascript"
163,Java developers,Trenser Technology Solutions - Full-time,Trivandrum,Java
164,Laravel or Codeigniter Developer,Axnol Digital Solutions - Full-time,Remote,"PHP,Laravel"
165,Laravel or Codeigniter Trainees,Axnol Digital Solutions - Full-time,Remote,"PHP,Laravel,Codeigniter"
166,Job Title: Android Developer (App),Enroute Corporate Soltuions - Full-time,Kochi,"Java,Android,Kotlin,Android SDK"
167,PHP Developer,Chillar Payment Solutions Pvt Ltd - Full-time,Kochi,"MySQL,Laravel"
168,MERN STACK DEVELOPER Type Script,Chillar Payment Solutions Pvt Ltd - Full-time,Kochi,"Typescript,GraphQL,MERN"
169,Odoo Developer,Chillar Payment Solutions Pvt Ltd - Full-time,Kochi,"Python,Odoo"
170,QA TEST AUTOMATION,Chillar Payment Solutions Pvt Ltd - Full-time,Kochi,"Selenium,Test Automation"
171,ANGULAR Developer,Enroute Corporate Soltuions - Full-time,Remote,"Angular,Javascript,API,HTML,CSS"
172,C++ Developer,Travancore Analytics (P) Ltd - Full-time,Trivandrum,C++ Developers
173,AR/VR- Senior Developer/Lead,Travancore Analytics (P) Ltd - Full-time,Trivandrum,AR/VR- Senior Developer/Lead
174,DevOps Engineer,Travancore Analytics (P) Ltd - Full-time,Trivandrum,Devops Engineer
175,Angular- Senior Developer/Lead,Travancore Analytics (P) Ltd - Full-time,Trivandrum,Angular- Senior Developer/Lead
176,React Native- Developer/Senior Developer/Lead,Travancore Analytics (P) Ltd - Full-time,Trivandrum,"React Native, Javascript, Redux/React Router, Git"
177,Node Full Stack- Developer/Senior Developer/Lead,Travancore Analytics (P) Ltd - Full-time,Trivandrum,Node Full Stack- Developer/Senior Developer/Lead
178,.Net Full Stack- Developer/Senior Developer/Lead,Travancore Analytics (P) Ltd - Full-time,Trivandrum,".Net Full Stack- Developer/Senior Developer/Lead,MVC.Net/.Net Web API/.Net Core, Angular 2+/React JS/Vue JS, SQL"
179,Laravel developer,Softnotions Technologies Pvt Ltd - Full-time,Trivandrum,"MVC,PHP Laravel,LAMP"
180,Senior Wordpress Developer,Softnotions Technologies Pvt Ltd - Full-time,Trivandrum,"Javascript,HTML5,CSS3,Wordpress,jQuery"
181,Data Entry Operators- 100,Software Incubator Pvt Ltd - Full-time,Trivandrum,"communication skills,Quick Learner,Fair typing skills"
182,RPA Data Analyst- 2 Nos.,Software Incubator Pvt Ltd - Full-time,Trivandrum,"MySQL,RPA,freshers"
183,ASSOCIATE ARCHITECT,Enroute Corporate Soltuions - Full-time,Kochi,"Angular,Java,.NET,Microservices,ReactJS, Technical Architect"
184,professionals Cloud security,UST - Full-time,Trivandrum,Cloud Security
185,Cloud Engineers,UST - Full-time,Trivandrum,"AWS,Cloud Engineers"
186,AppDynamics/SolarWinds Tool Admin,UST - Full-time,Trivandrum,Appdynamics
187,Java Full Stack Developers,UST - Full-time,Trivandrum,Java
188,Python/REST API Developer,Alokin Software Pvt Ltd - Full-time,Trivandrum,"MySQL,python,Starlette,PostgreSQL"
189,Frontend Engineer - Vue.js,Alokin Software Pvt Ltd - Full-time,Trivandrum,"Angular,React,RESTful API,Vue.js,Javascript, HTML, CSS"
190,Junior QA Engineer,Socius Innovative Global Brains LLC - Full-time,Trivandrum,"Testing,Business Analysis,Mobile Testing,Web/Mobile Testing,manual testing"
191,SOFTWARE ENGINEER (Embedded Domain),Cetacean Business Solutions LLP - Full-time,Bangalore,"Android,Embedded Systems,Linux OS administration,Data Structures,C/C++"
192,Project Coordinator,Alokin Software Pvt Ltd - Full-time,Trivandrum,"communication skills,Bachelor's degree in Computer Science (or related field)."
193,FULL STACK DEVELOPERS (Immediate),Cetacean Business Solutions LLP - Full-time,Kochi,"Angular,MVC,Node JS,.Net Core,.NET/C#,JQuery,Javascript, Typescript"
194,HR RECRUITER (Immediate),Cetacean Business Solutions LLP - Full-time,Kochi,"HR Recruitment,IT recruitment, social media recruitment, good communication skills,MBA/MHRM"
195,Unity Developer,TILTLABS - Full-time,Trivandrum,C#
196,Principal Test Engineer (Selenium),Saasvaap - Full-time,Trivandrum,"Selenium,Principal Test Engineer (Selenium)"
197,Business Data Analyst,Orion Innovation - Full-time,Kochi,Business Data Analyst
198,Java Spark Developer,Orion Innovation - Full-time,Kochi,Spark
199,java Developer,Orion Innovation - Full-time,Kochi,"Angular,Javascript,spring boot,Angular JS"
200,Frontend Developer node js,Orion Innovation - Full-time,Kochi,Node JS
201,Frontend Developer,Orion Innovation - Full-time,Chennai,"ReactJS,Frontend Developer"
202,Technical Lead-Net,Orion Innovation - Full-time,Kochi,". net,.Netcore"
203,Net Developer,Orion Innovation - Full-time,Kochi,".NET,.Net Core,Web API"
204,Java developers,Speridian - Full-time,Trivandrum,Java Developers Angular Developers - Full stack developers(Java) Full stack developers(Nodejs/Reactjs) - Python/Django Developers Quality Engineer - DevOps Engineer(AWS)
205,Dotnet Micro Services Developer,Jaivam Life LLP - Full-time,Kochi,"Microservices,Dotnet Core"
206,Flutter Developer,Jaivam Life LLP - Full-time,Kochi,Flutter
207,Technical Lead-Mobile App,JUNE IT SOLUTIONS - Full-time,Kochi,"technical project management,mobile app"
208,QC Associate,Buildnext Construction Solutions Pvt Ltd - Full-time,Kochi,Angular
209,JD POS Tester,UST - Full-time,Trivandrum,JD POS Tester
210,Content Writer,Zil Money / Tyler Petroleum Inc - Full-time,Malappuram,"Content writing,English communication,English command"
211,PHP Laravel Developer,Zil Money / Tyler Petroleum Inc - Full-time,Malappuram,"Angular,Javascript,Typescript,PHP Laravel"
212,Angular Developer,Zil Money / Tyler Petroleum Inc - Full-time,Malappuram,"Angular,Typescript,CSS3,Ionic"
213,IT PROFESSIONALS,mykare health - Full-time,Remote,"Strong in Front end technologies like HTML, CSS, and JavaScript Hands-on experience in Web application development using React JS, Redux and context APIs Ability to build reusable components and front-end libraries for future use Should possess strong Logical & technical problem solving skills."
214,Recruitment Interns,Amstor Consultancy Services - Full-time,Remote,HR Recruitment
215,Senior/Lead IT Recruiter x 1,Amstor Consultancy Services - Full-time,Remote,IT Recruitment
216,FEMALE BUSINESS DEVELOPMENT EXECUTIVE,ZEED - Full-time,Remote,FEMALE BUSINESS DEVELOPMENT EXECUTIVE
217,UI/UX Developer,JTSI - Full-time,Trivandrum,UI/UX developer
218,Junior Software Engineers,JTSI - Full-time,Trivandrum,".ASP.Net,Junior Software Engineers"
219,Accounts executive,TopSlick - Full-time,Remote,Accounts Executive
220,Python + Selenium Webdriver,PIT Solutions Pvt Ltd - Full-time,Trivandrum,Python + Selenium Webdriver
221,Junior Odoo Developer,Akira Software Solutions India Pvt Ltd - Full-time,Trivandrum,Odoo
222,DevOps Engineer,Xpetize Technology Solutions Pvt Ltd - Full-time,Trivandrum,"Python,AWS,groovy,jenkins"
223,L1 lead,Xpetize Technology Solutions Pvt Ltd - Full-time,Trivandrum,"AWS ,L1 Resources TeamLead,Stakeholder Communication"
224,Support Engineer,Xpetize Technology Solutions Pvt Ltd - Full-time,Trivandrum,"Java,Microservices,AWS"
225,Infra Developer,Xpetize Technology Solutions Pvt Ltd - Full-time,Trivandrum,"Windows Server,System Adminisration Background on Windows,Apache Web Server,JBoss Application server"
226,Java Developer w/ Azure,Xpetize Technology Solutions Pvt Ltd - Full-time,Trivandrum,"SQL,Oracle,core java"
227,Java AWS Lead,Xpetize Technology Solutions Pvt Ltd - Full-time,Trivandrum,Java AWS Microservices
228,Node.js Developer,Cozak Tech Pvt Ltd - Full-time,Remote,"Node,Javascript,Mongo DB,Rest API"
229,Flutter Developer,Cocoalabs - Full-time,Kochi,FLUTTER DEVELOPER
230,Junior Kotlin Developer,Coddle Technologies Pvt Ltd - Full-time,Kozhikode ( Calicut ),"Android,Kotlin,MVVM,Payment Gateway,android developer, Kotlin, MVVM design pattern, Android Jetpack Libraries (Room, LiveData, Navigation, etc),Room DB"
231,Full Stack Developer,Polus Software - Full-time,Trivandrum,"Angular,MySQL,spring boot,Hibernate,java"
232,PHP/WordPress Developer,Polus Software - Full-time,Trivandrum,"Wordpress, Laravel Web Services & SOAP, XML, AJAX"
233,QA Engineer- Automation,Polus Software - Full-time,Trivandrum,"Selenium,Test Automation"
234,PL/SQL Developer,Polus Software - Full-time,Trivandrum,"Oracle/Mysql, MSSQL, MySQL or PostgreSQL"
235,Software Engineer- Angular Developer,Polus Software - Full-time,Trivandrum,Angular
236,Java Developer,Polus Software - Full-time,Trivandrum,"Java,MySQL,spring boot,hibernate"
237,PYTHON,Akira Software Solutions India Pvt Ltd - Full-time,Trivandrum,Python
238,Jr. Sales Executive,Lanware - Full-time,Kochi,Sales Executive
239,ASSOCIATE DATA ANALYST,PIT Solutions Pvt Ltd - Full-time,Trivandrum,"MS office,MS Excel"
240,HR Executive,TechMaven IT Solutions - Full-time,Kochi,HR Recruitment
241,Software Trainee,Bourntec Solution Inc - Full-time,Kochi,"Python,Javascript,.Net,java"
242,SQL Developer,SE-Mentor Solutions Pvt. Ltd - Full-time,Kochi,SQL Queries
243,Business Development Executive,Finprov - Full-time,Bangalore,"Business Development,business development executive"
244,Telesales Executive,Finprov - Full-time,Bangalore,"Customer Service,TeleCalling"
245,Digital Marketing Executive,Finprov - Full-time,Kochi,"Desired experience 1-3 years of experience in Digital Marketing, including email campaigns, landing pages, website design, SEO and Google Analytics"
246,Content Writer,Finprov - Full-time,Kochi,"Project Coordination , Manual Testing , Content Integration through CMS and Magento backend, Handling of tools like Adobe Dreamweaver , Photoshop, Filezilla and Database phpMyAdmin."
247,Senior PHP Developer,Waybeo Technology Solutions Pvt Ltd - Full-time,Trivandrum,"PHP,Javascript,MySQL,Laravel,jQuery,HTML,MongoDB"
248,Java Developer,GBS-PLUS - Full-time,Trivandrum,"spring boot,Java"
