,Job_title,company,location,skills_required
303,DevOps Engineer (Azure),Cetacean Business Solutions LLP - Full-time,Kochi,"DevOps,Kubernetes,Rest API,powershell,CI/CD,Azure DevOps,Azure Active Directory"
304,SR. BUSINESS ANALYSTS AND BUSINESS ANALYSTS,Fingent - Full-time,Kochi,"Agile,Business Analysis,Wireframing,SDLC"
305,CRM Executives,Cetacean Business Solutions LLP - Full-time,Kochi,"Project Management,Sales,CRM tools,CRM - Salesforce or MS Dynamics"
306,Marine Engineers (Freshers/Trainees),Cetacean Business Solutions LLP - Full-time,Kochi,"Shipping,,marine,sailing"
307,QA Test Engineer (Manual),Cetacean Business Solutions LLP - Full-time,Kochi,"bug tracking,ISTQB Certified Tester,Manual Testing,Software QA"
308,MS SQL Server Developer,Cetacean Business Solutions LLP - Full-time,Kochi,"MVC,NoSQL,MSSQL,BigData,Hadoop,TSQL"
309,SOFTWARE ENGINEER – WPF,Fingent - Full-time,Kochi,"MVVM,WPF,Xamarin.Forms"
310,Connectivity Technologist,Xpetize Technology Solutions Pvt Ltd - Full-time,Remote,"Infrastructure,PLC,NC,N/W technology"
311,Electric Motor Design & Development Engineer,Xpetize Technology Solutions Pvt Ltd - Full-time,Remote,"Electrical Domain,Electronics Domain,EV Motor Design,Hybrid Motor Design,BLDC Motors,PMSM Motors"
312,PMO,Xpetize Technology Solutions Pvt Ltd - Full-time,Remote,"communication skills,Act independently,Strong Organization Skill,Moderation Skill"
313,Head - Application Engineering (Industrial),Xpetize Technology Solutions Pvt Ltd - Full-time,Remote,"Rolling Bearing Application,Sound Knowledge"
314,US Tax,Xpetize Technology Solutions Pvt Ltd - Full-time,Remote,US Tax 1040
315,Database Administrator (DBA),Auberon Technology Pvt Ltd - Full-time,Kochi,"MS SQL Server,Database Query,Dynamic SQL,database designing,No SQL,advanced SQL"
316,DB Developers,Auberon Technology Pvt Ltd - Full-time,Kochi,"MS SQL Server,Debugging,advanced SQL Pro,SQL Programming,Database Query,Dynamic SQL"
317,.Net Developers,Auberon Technology Pvt Ltd - Full-time,Kochi,"C#,SQL,asp.net mvc ,JavaScript jQuery AJAX,SSRS Reports,Telerik and SOA,Webservice-WCF/Web API"
318,Test Engineers,Auberon Technology Pvt Ltd - Full-time,Kochi,"Rest API,POSTMAN,Selenium with C# ,documenting testcases and deriving test scenarios,Browser testing, API testing, Exploratory testing, Mobile testing ,Evaluating Exit Criteria, Data Comparisons -Front-end data with Back-end data.,SDLC & STLC,agile & scrum methodology"
319,Senior Test Engineers,Auberon Technology Pvt Ltd - Full-time,Kochi,"Rest API,SQL Queries,POSTMAN,Api testing,CI CD,Testing of Web and Mobile based applications,Creating and Designing test plans, strategies, scenarios & test cases,Testing Lifecycle and Testing Methodologies in Manual and Automation testing,Manual & Automation Testing with Selenium C#"
320,Sr. QA Specialist,SOTI - Full-time,Kochi,"Immediate availability Basic Programming skills,Good Communication,Keen & attention to detail. ,Strong analytical and problem-solving skills. ,Excellent verbal and written communication skills. ,Creative and innovative thinker. ,Diligent and meticulous."
321,.NET Developer,Cetacean Business Solutions LLP - Full-time,Kochi,"Angular,React,Javascript,.NET,SQL,MVC,.NET/C#,asp.net mvc"
322,Client Relationship Executive - Kogland,Fingent - Full-time,Kochi,"Sales,Marketing,client relationships ,Surgical Products,Medical Consumables"
